Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,101,R_Y3LSnMS91cFvTUZ,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Have not felt like I needed to go so far,Satisfied,Satisfied,Unsatisfied,My apartment still has not been given a coffee table or the new dining chairs,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,No,No,I had other plans at the time,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tacuba,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Junior,Returning,M,Sophomore and Upper Div,ATTENDING
October,677,R_1MSpOeErO1vMEno,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Did not answer,Neutral,Neutral,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Did not answer,Neutral,Neutral,Agree,Did not answer,No,No,No,Did not answer,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Did not answer,Yes,Yes,Yes,Yes,No,No,Yes,Yes,6-10 Times,6-10 Times,1-5 Times,0 Times,3,4,Did not answer,Poor,Not yet but i might,Neutral,Did not answer,Unsure,Did not answer,Granada,DL,India,Foreign,No Theme or Residential Learning/Living Community,No Learning Community,Single,Freshman,Continuing,M,Sophomore and Upper Div,ATTENDING
October,667,R_28zIRj9xXv5UT2p,Satisfied,Did not answer,Yes,Not Applicable,Yes,No,Yes,No,Yes,No,No,No,No,No,No,There is not one in my building,Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Disagree,Neutral,Did not answer,Not Applicable,Yes,No,Not available at the time,Yes,Yes,No,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,No,No,Did not answer,Did not answer,No,Yes,Yes,Not Applicable,No,Not Applicable,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Viva,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Student Leader/Staff,Graduate,Graduate,F,Sophomore and Upper Div,ATTENDING
October,270,R_2CqOiVX3yrj9Rd4,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,I don't think I need it.,Satisfied,Satisfied,Unsatisfied,"The chairs and furniture from the residential community are always dirty, it seems like they don't have any maintenance at all.",Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I didn't have time,Yes,Yes,Yes,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Did not answer,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,3,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Zura,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Student Leader/Staff,Senior,Returning,M,First Year,ATTENDING
October,341,R_3Jla1YNQA0hntPd,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,I often forget about it and when it's available,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,I haven't felt the need to.,Neutral,Neutral,Neutral,Did not answer,Not Applicable,Not Applicable,No,Unaware of any in my apartment complex,Yes,No,Yes,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,No,No,No,No,Yes,Yes,6-10 Times,6-10 Times,6-10 Times,6-10 Times,4,2,I don't know anything about it or how they would help.,Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Aztec Corner,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,936,R_rdWksn9AZTEH3ZD,Neutral,Did not answer,Not Applicable,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,don't need it,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,No,No,No,"none were going on, busy",Yes,Yes,Yes,No,No,No,No,Yes,No,No,Did not answer,Did not answer,No,Yes,No,No,No,No,Yes,No,0 Times,More than 10 Times,6-10 Times,6-10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zapotec,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Senior,Returning,F,Sophomore and Upper Div,NOT ENROLLED
October,381,R_W1oFr6Hn0cFIjFn,Neutral,Did not answer,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,Yes,No,No,Did not answer,Satisfied,Satisfied,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,Yes,1-5 Times,6-10 Times,1-5 Times,6-10 Times,5,4,Did not answer,Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza South,CA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,First Year,ATTENDING
October,516,R_2fy6Ylkh8FImVN9,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,There‚s no activities,Satisfied,Neutral,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Not really sure who that is,Agree,Agree,Agree,Did not answer,Yes,Not Applicable,Not Applicable,Did not answer,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Did not answer,Did not answer,Yes,Yes,No,No,Not Applicable,Not Applicable,Yes,Yes,0 Times,More than 10 Times,1-5 Times,6-10 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,CA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,367,R_3JfP17lafoJAI4z,Neutral,Did not answer,Not Applicable,Not Applicable,Yes,No,Yes,No,Yes,No,No,Not Applicable,Not Applicable,No,No,No need,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Unsafe,more lights,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Did not answer,Neutral,Agree,Neutral,Did not answer,No,No,No,No time,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0 Times,More than 10 Times,6-10 Times,More than 10 Times,5,5,Did not answer,Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Huaxtepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,713,R_OKed5XSITMDKQVz,Neutral,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,don't know where it is,Neutral,Unsatisfied,Satisfied,My lamps are always broken,Unsafe,Safe,Unsafe,Maybe gentrify the area around sdsu,No,"Other, please specify:",I have roaches but they went away,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,They don't seem welcoming,Agree,Disagree,Neutral,Make Greek life more accepting,Not Applicable,No,No,We don't have any,Yes,Yes,No,No,No,No,No,Yes,No,No,Not Applicable,Did not answer,Yes,No,Not Applicable,Yes,No,Yes,Yes,No,0 Times,More than 10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Toltec,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
